iter	RMSE
0	1.668194469e-06
1	1.59320994e-06
2	1.522971106e-06
3	1.454715076e-06
4	1.390497142e-06
5	1.331232833e-06
6	1.274140641e-06
7	1.219276087e-06
8	1.167299646e-06
9	1.117517806e-06
10	1.070159541e-06
11	1.026129928e-06
12	9.839755697e-07
13	9.437814113e-07
14	9.055570252e-07
15	8.672054884e-07
16	8.319513166e-07
17	7.984567492e-07
18	7.669189969e-07
19	7.362992723e-07
20	7.079366135e-07
21	6.81032799e-07
22	6.548556007e-07
23	6.294699019e-07
24	6.068381538e-07
25	5.846364781e-07
26	5.630976316e-07
27	5.432095877e-07
28	5.241140381e-07
29	5.055334099e-07
30	4.878700201e-07
31	4.713268681e-07
32	4.552068129e-07
33	4.411567152e-07
34	4.274676706e-07
35	4.14721394e-07
36	4.030284855e-07
37	3.91427172e-07
38	3.806093342e-07
39	3.697879081e-07
40	3.597026819e-07
41	3.50526609e-07
42	3.41681809e-07
43	3.336153472e-07
44	3.255511427e-07
45	3.181706189e-07
46	3.112067286e-07
47	3.045040184e-07
48	2.982753053e-07
49	2.924616983e-07
50	2.870232316e-07
51	2.815423106e-07
52	2.765139735e-07
53	2.720027323e-07
54	2.677587546e-07
55	2.63660167e-07
56	2.595727361e-07
57	2.556988593e-07
58	2.520413084e-07
59	2.484864527e-07
60	2.450156876e-07
61	2.420301144e-07
62	2.389368271e-07
63	2.363716115e-07
64	2.336193777e-07
65	2.309826149e-07
66	2.283749467e-07
67	2.257882851e-07
68	2.235512411e-07
69	2.213530282e-07
70	2.193987944e-07
71	2.174061422e-07
72	2.157634251e-07
73	2.141419297e-07
74	2.124849999e-07
75	2.110644103e-07
76	2.095724871e-07
77	2.078171241e-07
78	2.066044899e-07
79	2.05325776e-07
80	2.042183193e-07
81	2.028740047e-07
82	2.01754718e-07
83	2.006594354e-07
84	1.994305824e-07
85	1.984185208e-07
86	1.973343274e-07
87	1.962430505e-07
88	1.951815291e-07
89	1.942890526e-07
90	1.93321537e-07
91	1.92383196e-07
92	1.91239689e-07
93	1.902983543e-07
94	1.896480028e-07
95	1.888717549e-07
96	1.880534659e-07
97	1.872210572e-07
98	1.864679281e-07
99	1.858032583e-07
100	1.849133927e-07
101	1.840525324e-07
102	1.831563992e-07
103	1.825205628e-07
104	1.818225325e-07
105	1.81182901e-07
106	1.806553276e-07
107	1.800384883e-07
108	1.794707119e-07
109	1.789065502e-07
110	1.781879425e-07
111	1.774931449e-07
112	1.769234957e-07
113	1.764715756e-07
114	1.76051946e-07
115	1.75577309e-07
116	1.749993082e-07
117	1.744887475e-07
118	1.739291094e-07
119	1.734714112e-07
120	1.730892647e-07
121	1.725297564e-07
122	1.716829275e-07
123	1.712086991e-07
124	1.707708829e-07
125	1.701950634e-07
126	1.694732685e-07
127	1.688212563e-07
128	1.682812059e-07
129	1.677313404e-07
130	1.6706892e-07
131	1.664474212e-07
132	1.660683893e-07
133	1.655664695e-07
134	1.649552816e-07
135	1.645798599e-07
136	1.641532473e-07
137	1.63743683e-07
138	1.632109039e-07
139	1.627229858e-07
140	1.62405934e-07
141	1.619461056e-07
142	1.615047851e-07
143	1.610559118e-07
144	1.60538566e-07
145	1.60208698e-07
146	1.598270136e-07
147	1.594718755e-07
148	1.590583226e-07
149	1.586377634e-07
150	1.580957934e-07
151	1.576466762e-07
152	1.571472912e-07
153	1.568679466e-07
154	1.565839174e-07
155	1.561788037e-07
156	1.557329427e-07
157	1.554510496e-07
158	1.551207484e-07
159	1.548244238e-07
160	1.54407311e-07
161	1.541480108e-07
162	1.537904598e-07
163	1.534146289e-07
164	1.530056735e-07
165	1.526329823e-07
166	1.523352594e-07
167	1.520532926e-07
168	1.516201743e-07
169	1.513306185e-07
170	1.510002104e-07
171	1.507127781e-07
172	1.503801766e-07
173	1.499414494e-07
174	1.494827574e-07
175	1.491621025e-07
176	1.488540234e-07
177	1.485555072e-07
178	1.483364054e-07
179	1.479905288e-07
180	1.476855834e-07
181	1.473768438e-07
182	1.470029353e-07
183	1.466182261e-07
184	1.463578012e-07
185	1.46002489e-07
186	1.456888548e-07
187	1.452927366e-07
188	1.447441701e-07
