iter	Passed	Remaining
0	11	3401
1	22	3311
2	35	3487
3	46	3424
4	57	3373
5	68	3346
6	78	3286
7	89	3251
8	100	3243
9	111	3243
10	122	3206
11	132	3177
12	143	3161
13	153	3127
14	163	3113
15	175	3107
16	185	3085
17	195	3066
18	205	3045
19	218	3060
20	231	3074
21	241	3051
22	251	3027
23	261	3010
24	272	2992
25	282	2974
26	292	2959
27	302	2938
28	312	2922
29	323	2907
30	334	2903
31	344	2888
32	354	2871
33	365	2855
34	375	2843
35	385	2826
36	395	2813
37	405	2795
38	415	2782
39	425	2768
40	436	2754
41	446	2742
42	456	2730
43	466	2714
44	477	2704
45	487	2691
46	497	2680
47	507	2666
48	518	2653
49	528	2641
50	538	2629
51	548	2616
52	558	2604
53	569	2595
54	580	2584
55	590	2573
56	599	2557
57	610	2548
58	620	2536
59	630	2523
60	641	2514
61	652	2502
62	661	2490
63	672	2479
64	682	2466
65	692	2455
66	702	2442
67	712	2430
68	728	2437
69	739	2431
70	749	2417
71	760	2406
72	770	2395
73	781	2385
74	791	2375
75	801	2363
76	811	2349
77	821	2338
78	832	2328
79	841	2315
80	852	2304
81	862	2292
82	873	2283
83	883	2272
84	893	2259
85	904	2250
86	914	2239
87	924	2227
88	934	2216
89	944	2203
90	954	2192
91	964	2180
92	974	2168
93	984	2158
94	994	2146
95	1004	2135
96	1015	2124
97	1024	2112
98	1035	2101
99	1045	2090
100	1055	2079
101	1065	2067
102	1075	2056
103	1085	2045
104	1096	2035
105	1105	2024
106	1116	2014
107	1128	2005
108	1137	1993
109	1147	1982
110	1158	1972
111	1167	1960
112	1178	1949
113	1188	1938
114	1197	1927
115	1207	1915
116	1217	1904
117	1227	1893
118	1237	1882
119	1247	1871
120	1257	1860
121	1267	1849
122	1277	1838
123	1287	1827
124	1297	1817
125	1308	1806
126	1318	1796
127	1329	1786
128	1339	1775
129	1350	1765
130	1360	1755
131	1370	1744
132	1380	1733
133	1389	1721
134	1399	1710
135	1409	1699
136	1419	1689
137	1430	1678
138	1439	1667
139	1449	1656
140	1460	1646
141	1470	1636
142	1480	1625
143	1490	1615
144	1501	1604
145	1511	1594
146	1521	1583
147	1531	1573
148	1542	1563
149	1552	1552
150	1563	1542
151	1573	1532
152	1583	1521
153	1593	1510
154	1602	1499
155	1613	1489
156	1623	1478
157	1633	1468
158	1645	1458
159	1655	1448
160	1665	1437
161	1675	1427
162	1685	1416
163	1695	1406
164	1708	1397
165	1719	1388
166	1730	1377
167	1740	1367
168	1750	1356
169	1760	1346
170	1770	1335
171	1780	1325
172	1791	1315
173	1801	1304
174	1812	1294
175	1822	1284
176	1832	1273
177	1843	1263
178	1853	1252
179	1863	1242
180	1873	1231
181	1883	1221
182	1893	1210
183	1904	1200
184	1914	1190
185	1925	1179
186	1935	1169
187	1945	1159
188	1956	1148
189	1965	1138
190	1975	1127
191	1985	1116
192	1995	1106
193	2005	1095
194	2015	1085
195	2025	1074
196	2035	1064
197	2045	1053
198	2055	1043
199	2064	1032
200	2075	1022
201	2086	1012
202	2096	1001
203	2107	991
204	2117	981
205	2127	970
206	2138	960
207	2148	950
208	2158	939
209	2168	929
210	2178	918
211	2188	908
212	2204	900
213	2214	889
214	2223	879
215	2234	868
216	2244	858
217	2255	848
218	2265	838
219	2276	827
220	2286	817
221	2296	807
222	2307	796
223	2317	786
224	2327	775
225	2337	765
226	2347	754
227	2357	744
228	2367	734
229	2377	723
230	2387	713
231	2398	702
232	2408	692
233	2417	681
234	2428	671
235	2438	661
236	2449	651
237	2460	640
238	2470	630
239	2480	620
240	2490	609
241	2500	599
242	2511	589
243	2521	578
244	2531	568
245	2541	557
246	2552	547
247	2562	537
248	2572	526
249	2582	516
250	2593	506
251	2603	495
252	2613	485
253	2623	475
254	2633	464
255	2643	454
256	2653	443
257	2663	433
258	2674	423
259	2683	412
260	2698	403
261	2710	393
262	2720	382
263	2730	372
264	2741	362
265	2751	351
266	2762	341
267	2772	331
268	2781	320
269	2792	310
270	2802	299
271	2812	289
272	2822	279
273	2832	268
274	2843	258
275	2854	248
276	2863	237
277	2873	227
278	2883	217
279	2893	206
280	2904	196
281	2914	186
282	2925	175
283	2936	165
284	2946	155
285	2956	144
286	2967	134
287	2977	124
288	2987	113
289	2997	103
290	3007	93
291	3018	82
292	3028	72
293	3038	62
294	3054	51
295	3076	41
296	3097	31
297	3114	20
298	3135	10
299	3156	0
