feature,importance
pm1,46376909.15344238
d2m_era5,38871559.165771484
no2lag_blhlag,36104357.53808594
month,22240412.0133667
no2_pm25_product,20244796.365234375
stability,17526840.270996094
blh_era5,14574315.795898438
blh_temp_interaction,9156741.904907227
no2_blhlag,7519754.432373047
month_sin,5363643.4912109375
pm2p5,4326220.141845703
blh_no2_lag1_interaction,3890068.9135742188
hour_cos,3647407.9104003906
t2m_era5_lag_6h,2695311.740234375
pm2p5_lag_3h,2575220.3212890625
blh_lag_1h,2378850.223022461
blh_rolling_mean_3h,2349388.3149414062
pm2p5_rolling_mean_3h,2337040.0861816406
blh_roll3,2209128.9482421875
pm2p5_rolling_mean_24h,2072683.5024414062
no2_rolling_mean_3h,1942159.9614257812
tcc_era5,1921810.8447265625
v10_era5,1799035.0654296875
no2_rolling_mean_24h,1752790.6665039062
pm10_rolling_mean_3h,1659953.8984375
pm2p5_lag_1h,1597647.7182617188
is_post_monsoon,1573324.5478515625
blh_inversion,1570845.673461914
stubble_burning_flag,1510194.5200195312
ventilation_rate,1425111.1848144531
relative_humidity_approx,1386880.8735351562
no2_lag_1h,1337086.2099609375
wind_v,1106228.8032226562
no2_lag_3h,1104596.10546875
pm10_lag_1h,1061187.4990234375
t2m_era5_lag_12h,973646.3098144531
pm2p5_lag_6h,879518.1845703125
pm2p5_lag_12h,872247.5688476562
pm2p5_rolling_mean_6h,869149.7690429688
dewpoint_depression,858730.0316162109
ventilation,814594.5639648438
wind_uv_product,726912.1154785156
u10_era5,635624.021484375
pm10,596707.4982910156
wind_u_abs,496145.33935546875
t2m_era5_lag_24h,490304.763671875
no2_lag_6h,476420.48876953125
pm10_lag_6h,465664.5634765625
inv,443464.5009765625
solar_elevation,434848.1028442383
wind_u,429300.8994140625
pm2p5_rolling_mean_12h,396864.0966796875
no2_rolling_mean_12h,389102.5029296875
hour_sin,387271.794921875
pm25_pm10_product,387041.099609375
t2m_era5,383894.39404296875
so2_lag_6h,368927.15380859375
month_cos,368148.44873046875
pm10_lag_3h,354355.52294921875
pm10_rolling_mean_24h,339858.6397705078
sp,335958.2393798828
so2_lag_12h,317750.9990234375
pm25_pm10_ratio,294643.0812988281
pm10_rolling_mean_6h,294205.80126953125
wind_v_abs,285559.91748046875
blh_inv,267153.9802246094
no2_rolling_mean_6h,261171.89038085938
is_night,248888.0
no2_pm25_ratio,201077.96044921875
pm10_rolling_mean_12h,196206.5830078125
temperature_roll3,187412.70947265625
pm10_lag_24h,164983.0087890625
pm10_lag_12h,162867.5908203125
hour_temp_interaction,162784.8935546875
is_monsoon,158145.00732421875
blh_wind_interaction,154730.03881835938
wind_speed_lag_12h,136461.6004638672
wind_speed_lag_24h,126877.20129394531
t2m_era5_lag_1h,121973.09765625
no2_lag_24h,106830.55102539062
no2,106747.82861328125
wind_speed_lag_6h,91695.96044921875
diwali_flag,85398.86962890625
so2_lag_3h,83304.76025390625
so2_lag_1h,75380.32141113281
wind_speed,63344.02978515625
wind_speed_lag_1h,50857.4306640625
so2,48493.35888671875
no2_lag_12h,44032.490234375
low_blh_flag,39716.0
pm2p5_lag_24h,39384.73156738281
t2m_era5_lag_3h,38463.29931640625
so2_lag_24h,32269.960083007812
day_of_week,23618.9296875
wind_speed_lag_3h,22127.800170898438
no,15253.5703125
festival_flag,13128.400390625
inversion_strength,11847.599609375
blh_wind,5124.9918212890625
hour_weekend_interaction,2790.3798828125
is_weekend,0.0
hour,0.0
inversion_strength_abs,0.0
is_summer,0.0
is_winter,0.0
is_weekday,0.0
morning_peak,0.0
low_wind_flag,0.0
wind_stagnation_index,0.0
low_blh,0.0
